Kanji,Reading,Meaning,Level
尽きる,つきる,to be used up; to be run out,1
継ぎ目,つぎめ,joint; seam,1
吐く,つく,to vomit; to throw up,1
尽くす,つくす,to use up; to exhaust,1
作り,つくり,making; forming,1
造り,つくり,making; forming,1
造る,つくる,to make; to produce,1
繕う,つくろう,to mend; to patch up,1
接ぐ,つぐ,"to join (cloth, wood, etc.); to join",1
継ぐ,つぐ,"to succeed (a person, to a position, etc.); to inherit",1
付け加える,つけくわえる,"to add (one thing to another); to add (a few more words, an explanation, etc.)",1
告げる,つげる,to tell; to inform,1
辻褄,つじつま,coherence; consistency,1
途中,つちゅう,on the way; en route,1
突っ張る,つっぱる,to cramp up; to tighten,1
筒,つつ,counter for dot tiles; pipe,1
銃,つつ,gun; firearm,1
突く,つつく,to prick; to stab,1
慎む,つつしむ,to be careful; to be discreet,1
伝言,つてごと,(verbal) message; word (from someone),1
勤まる,つとまる,to be fit (for a role); to be qualified (for),1
勤め先,つとめさき,place of work,1
努めて,つとめて,as much as possible; as far as possible,1
津波,つなみ,tsunami; tidal wave,1
抓る,つねる,to pinch; to nip,1
募る,つのる,to become stronger; to grow in intensity,1
唾,つば,saliva; spit,1
呟く,つぶやく,to mutter; to murmur,1
瞑る,つぶる,to close (one's eyes); to shut,1
壷,つぼ,"hu (ancient Chinese vessel shaped like a vase, usually used to store alcohol); pot",1
蕾,つぼみ,(flower) bud; promising young person,1
躓く,つまずく,to trip (over); to stumble,1
摘む,つまむ,to pick; to pluck,1
詰らない,つまらない,dull; uninteresting,1
詰まり,つまり,that is to say; that is,1
積もり,つもり,intention; plan,1
露,つゆ,Russia; dew,1
強まる,つよまる,to get strong; to gain strength,1
強める,つよめる,to strengthen; to emphasize,1
連なる,つらなる,to extend; to stretch out,1
貫く,つらぬく,to go through; to pierce,1
連ねる,つらねる,to line up; to put in a row,1
釣り,つり,fishing; angling,1
吊り革,つりかわ,strap (to hang onto); hanging strap,1
釣鐘,つりがね,temple bell; hanging bell,1
吊るす,つるす,to hang; to hang up,1
手当て,てあて,salary; pay,1
体,てい,body; torso,1
提供,ていきょう,offer; tender,1
定義,ていぎ,definition,1
提携,ていけい,cooperation; tie-up,1
体裁,ていさい,(outward) appearance; (proper) format (e.g. of an essay),1
梯子,ていし,ladder; stairs,1
定食,ていしょく,set meal; special (of the day),1
提示,ていじ,"presentation (of a passport, ID, etc.); showing",1
訂正,ていせい,correction; revision,1
停滞,ていたい,stagnation; tie-up,1
邸宅,ていたく,(large) house; residence,1
定年,ていねん,(compulsory) retirement age; age limit,1
堤防,ていぼう,bank; weir,1
手遅れ,ておくれ,being too late; losing one's final chance,1
手数,てかず,trouble; bother,1
手掛かり,てがかり,clue; lead,1
手掛ける,てがける,to handle; to manage,1
手軽,てがる,easy; simple,1
的,てき,-ical; -ive,1
適応,てきおう,adaptation; accommodation,1
適宜,てきぎ,suitable; appropriate,1
適性,てきせい,aptitude; aptness,1
手際,てぎわ,skill; ability,1
手順,てじゅん,process; procedure,1
手錠,てじょう,handcuffs; manacles,1
手近,てぢか,near; close by,1
てっきり,てっきり,surely; certainly,1
鉄鋼,てっこう,iron and steel,1
徹する,てっする,to penetrate; to sink in,1
鉄片,てっぺん,iron scraps,1
手配,てはい,arrangement; preparations,1
手筈,てはず,arrangements; plan,1
手引き,てびき,guidance; lead,1
手本,てほん,model; (good) example,1
手回し,てまわし,turning by hand; hand-turned,1
手元,てもと,at hand; on hand,1
照り返す,てりかえす,to reflect; to throw back light,1
手分け,てわけ,division of work; sharing out the work,1
店,てん,merchant's home; rented home,1
点火,てんか,light; lamp,1
転回,てんかい,revolution; rotation,1
転換,てんかん,conversion; diversion,1
転居,てんきょ,moving; changing residence,1
転勤,てんきん,job transfer; job relocation,1
点検,てんけん,detailed inspection; thorough examination,1
転校,てんこう,changing schools,1
天国,てんごく,paradise; heaven,1
天才,てんさい,genius; prodigy,1
天災,てんさい,natural disaster; natural calamity,1
展示,てんじ,exhibition; display,1
天井,てんじょう,ceiling; ceiling price,1
転じる,てんじる,to turn; to shift,1
点線,てんせん,dotted line; perforated line,1
天体,てんたい,heavenly body; celestial body,1
転転,てんてん,moving from place to place; being passed around repeatedly,1
てんで,てんで,(not) at all; completely,1
転任,てんにん,change of post,1
展望,てんぼう,view; outlook,1
転落,てんらく,fall; tumble,1
出合う,であう,to meet (by chance); to come across,1
出入り口,でいりぐち,exit and entrance,1
でかい,でかい,huge; big,1
出来物,できもの,tumour; tumor,1
出切る,できる,to be out of; to have no more at hand,1
出くわす,でくわす,to happen to meet; to come across,1
出鱈目,でたらめ,nonsense; irresponsible remark,1
出直し,でなおし,starting from scratch; making a fresh start,1
田園,でんえん,the country; countryside,1
電源,でんげん,source of electricity; electrical power,1
伝説,でんせつ,legend; folklore,1
電線,でんせん,electric line; electric cable,1
伝達,でんたつ,"transmission (e.g. news, chemical signals, electricity); communication",1
伝来,でんらい,introduction (from abroad); transmission (through successive generations),1
と,と,if; when,1
問い合わせる,といあわせる,to enquire; to inquire,1
問屋,といや,wholesale store; wholesale dealer,1
問う,とう,to ask; to inquire,1
棟,とう,large building; building with a long roof,1
等,とう,pluralizing suffix; or so,1
陶器,とうき,pottery; earthenware,1
等級,とうきゅう,grade; class,1
討議,とうぎ,debate; discussion,1
登校,とうこう,attendance (at school); going to school,1
統合,とうごう,integration; unification,1
倒産,とうさん,(corporate) bankruptcy; insolvency,1
投資,とうし,investment,1
統治,とうじ,rule; reign,1
統制,とうせい,regulation; control,1
当選,とうせん,"being elected; winning a prize (in a lottery, raffle, etc.)",1
逃走,とうそう,flight; desertion,1
統率,とうそつ,command; lead,1
到達,とうたつ,reaching; attaining,1
到底,とうてい,(cannot) possibly; (not) by any means,1
丁々,とうとう,with a chopping sound (of an axe); with a thump (when hammering a post into the ground),1
投入,とうにゅう,throwing in; inserting,1
当人,とうにん,the person concerned; the person in question,1
逃亡,とうぼう,escape; flight,1
冬眠,とうみん,hibernation; winter sleep,1
登録,とうろく,registration; accession,1
討論,とうろん,debate; discussion,1
遠ざかる,とおざかる,to go away; to become more distant,1
遠回り,とおまわり,detour; roundabout way,1
通りかかる,とおりかかる,to happen to pass by,1
兎角,とかく,(doing) various things; (doing) this and that,1
咎める,とがめる,to blame; to reproach,1
時折,ときおり,sometimes; at intervals,1
跡切れる,とぎれる,to break off; to come to an end,1
説く,とく,to explain; to preach,1
特技,とくぎ,special skill,1
特産,とくさん,being produced in a particular region; local specialty,1
特集,とくしゅう,feature (e.g. newspaper); special edition,1
得点,とくてん,scoring; score,1
特派,とくは,send specially; special envoy,1
特有,とくゆう,characteristic (of); peculiar (to),1
研ぐ,とぐ,to sharpen; to hone,1
刺,とげ,calling card; thorn,1
遂げる,とげる,to accomplish; to achieve,1
床,とこ,counter for beds; bed,1
所が,ところが,even so; however,1
所で,ところで,by the way; incidentally,1
年頃,としごろ,approximate age; apparent age,1
年寄り,としより,old person; elderly person,1
戸締り,とじまり,locking up (doors and windows); fastening the doors,1
途上,とじょう,on the way; en route,1
綴じる,とじる,to bind; to file,1
途絶える,とだえる,to stop; to cease,1
特許,とっきょ,patent; special permission,1
疾っくに,とっくに,long ago; a long time ago,1
特権,とっけん,privilege; special right,1
咄嗟,とっさ,moment; instant,1
取っ手,とって,handle; grip,1
突破,とっぱ,breaking through; breakthrough,1
突如,とつじょ,suddenly; all of a sudden,1
迚も,とても,very; awfully,1
整える,ととのえる,to put in order; to arrange,1
届け,とどけ,report; notification,1
滞る,とどこおる,to stagnate; to be delayed,1
止まる,とどまる,to remain; to abide,1
留める,とどめる,to stop; to turn off,1
止める,とどめる,to stop; to turn off,1
唱える,となえる,to recite; to chant,1
兎に角,とにかく,anyway; anyhow,1
殿様,とのさま,nobleman; dignitary,1
幕,とばり,curtain; act (in a play),1
帳,とばり,curtain; hanging,1
扉,とびら,door; gate,1
徒歩,とほ,foot soldier (Edo period); samurai on foot,1
乏しい,とぼしい,meagre; meager,1
富,とみ,riches; wealth,1
富む,とむ,to be rich (in); to abound (in),1
兎も角,ともかく,anyhow; anyway,1
共稼ぎ,ともかせぎ,(husband and wife) earning a living together,1
灯,ともしび,light (esp. as a religious offering); lamp,1
伴う,ともなう,to accompany; to go hand in hand with,1
共働き,ともばたらき,(husband and wife) both working; dual income,1
捕らえる,とらえる,to catch; to capture,1
取りあえず,とりあえず,first of all; at once,1
取り扱い,とりあつかい,treatment; service,1
取り扱う,とりあつかう,"to handle; to operate (a machine, etc.)",1
鳥居,とりい,torii (Shinto shrine archway),1
取り替え,とりかえ,swap; exchange,1
取り組む,とりくむ,to grapple with; to wrestle with,1
取り締まり,とりしまり,control; management,1
取り締まる,とりしまる,to manage; to control,1
取り調べる,とりしらべる,to investigate; to examine,1
取り立てる,とりたてる,to collect (debts); to dun,1
取り次ぐ,とりつぐ,"to pass on (a message, thoughts, etc.); to convey",1
取り除く,とりのぞく,to remove; to deinstall,1
取り引き,とりひき,transactions; dealings,1
取り巻く,とりまく,to surround; to encircle,1
取り混ぜる,とりまぜる,to mix; to put together,1
取り戻す,とりもどす,to take back; to get back,1
取り寄せる,とりよせる,to order; to send away for,1
取り分,とりわけ,one's share; one's portion,1
副,とりわけ,assistant; associate,1
蕩ける,とろける,to melt (and become soft or liquid); to be enchanted (by),1
とんだ,とんだ,unexpected; unlikely,1
胴,どう,trunk; torso,1
働,どう,"""as above"" mark; how",1
同,どう,the same; the said,1
同意,どうい,agreement; consent,1
動員,どういん,mobilization; mobilisation,1
同感,どうかん,same feeling; same sentiment,1
動機,どうき,motive; incentive,1
同級,どうきゅう,the same grade; same class,1
同居,どうきょ,living together; coexistence,1
動向,どうこう,trend; tendency,1
同士,どうし,fellow; mutual,1
同志,どうし,like-mindedness; (being of the) same mind,1
如何して,どうして,how; in what way,1
如何しても,どうしても,by all means; at any cost,1
同情,どうじょう,sympathy; compassion,1
道場,どうじょう,dojo; hall used for martial arts training,1
何卒,どうぞ,please; kindly,1
どうぞ宜しく,どうぞよろしく,pleased to meet you; how do you do,1
同調,どうちょう,conformity; alignment,1
動的,どうてき,dynamic; kinetic,1
同等,どうとう,equality; equal,1
堂々,どうどう,magnificent; grand,1
どうにか,どうにか,in some way or other; one way or another,1
導入,どうにゅう,introduction; bringing in,1
同封,どうふう,enclosing (e.g. with a letter),1
同盟,どうめい,alliance; union,1
どうやら,どうやら,possibly; apparently,1
動揺,どうよう,shaking; trembling,1
動力,どうりょく,power; motive power,1
独裁,どくさい,dictatorship; despotism,1
読者,どくしゃ,reader,1
独自,どくじ,original; unique,1
独占,どくせん,monopoly; monopolization,1
独創,どくそう,originality,1
何処,どこ,where; what place,1
何処か,どこか,somewhere; in some respects,1
土産,どさん,local specialty or souvenir bought as a gift while travelling; present brought by a visitor,1
土台,どだい,foundation; base,1
何方,どちら,which way; which direction,1
土手,どて,embankment; bank,1
何方,どなた,which way; which direction,1
怒鳴る,どなる,to shout (in anger); to yell,1
何の,どの,which; what (way),1
土俵,どひょう,(wrestling) ring; forum (e.g. for discussion),1
土木,どぼく,engineering works; civil engineering,1
何れ,どれ,which (of three or more); well,1
何々,どれどれ,what; so-and-so,1
度忘れ,どわすれ,lapse of memory; (something) slipping one's mind,1
鈍感,どんかん,thickheaded; insensitive,1
内閣,ないかく,cabinet (of a government); ministry,1
乃至,ないし,from ... to; between ... and,1
内臓,ないぞう,internal organs; viscera,1
内部,ないぶ,interior; inside,1
内乱,ないらん,civil war; insurrection,1
内陸,ないりく,inland,1
苗,なえ,Miao (people); Hmong,1
尚,なお,still; yet,1
尚更,なおさら,still more; even more,1
中程,なかほど,(about) middle; midway,1
流し,ながし,sink (e.g. in a kitchen); cruising (e.g. taxi),1
長々,ながなが,for a long time; at (great) length,1
殴る,なぐる,to strike; to hit,1
嘆く,なげく,to lament; to grieve,1
投げ出す,なげだす,to throw down; to throw out,1
和やか,なごやか,smiling; beaming,1
名残,なごり,remains; traces,1
情け,なさけ,pity; sympathy,1
情け深い,なさけぶかい,tender-hearted; compassionate,1
為さる,なさる,to do,1
詰る,なじる,to rebuke; to scold,1
何故,なぜ,why; how,1
何故なら,なぜなら,because; the reason is,1
名高い,なだかい,famous; noted,1
雪崩,なだれ,avalanche; snowslide,1
懐く,なつく,to become attached (to); to take (to),1
名付ける,なづける,to name; to call,1
何気ない,なにげない,casual; unconcerned,1
何しろ,なにしろ,in any case; at any rate,1
何卒,なにとぞ,please; kindly,1
何も,なにも,(not) anything; (nothing) at all,1
何より,なにより,above anything else; above all,1
七日,なぬか,7th day of the month; seven days,1
名札,なふだ,name plate; name tag,1
生臭い,なまぐさい,smelling of fish; fishy,1
生温い,なまぬるい,lukewarm; tepid,1
生身,なまみ,physical body of Buddha or a bodhisattva; body one is born with,1
鉛,なまり,lead (Pb),1
鈍る,なまる,to become blunt; to grow dull,1
並み,なみ,average; medium,1
滑らか,なめらか,smooth (of a surface); glassy,1
嘗める,なめる,to lick; to lap,1
悩ましい,なやましい,seductive; carnal,1
悩ます,なやます,to afflict; to torment,1
悩み,なやみ,trouble; troubles,1
平均,ならし,average; mean,1
慣らす,ならす,to accustom; to train (e.g. one's ear),1
馴らす,ならす,to accustom; to train (e.g. one's ear),1
並びに,ならびに,and (also); both ... and,1
成り立つ,なりたつ,to consist of; to be made up of,1
成る丈,なるたけ,as (much) as possible; as (much) as one can,1
成るべく,なるべく,as (much) as possible; as (much) as one can,1
慣れ,なれ,practice; experience,1
馴れ馴れしい,なれなれしい,overly familiar; overfamiliar,1
難,なん,difficulty; trouble,1
南,なん,south wind tile; winning hand with a pung (or kong) of south wind tiles,1
なんか,なんか,banknote; soft currency,1
何だか,なんだか,(a) little; somewhat,1
なんだかんだ,なんだかんだ,something or other; one thing or another,1
何て,なんて,how ...!; what ...!,1
何と,なんと,what; how,1
何となく,なんとなく,somehow; for some reason (or other),1
何とも,なんとも,really; very,1
何なり,なんなり,anything; whatever,1
荷,に,counter for loads (that can be carried on one's shoulders); load,1
似通う,にかよう,to resemble closely,1
面皰,にきび,pimple; acne,1
賑わう,にぎわう,to be crowded with people; to be bustling with,1
悪い,にくい,bad; poor,1
憎しみ,にくしみ,hatred,1
肉親,にくしん,blood relationship; blood relative,1
肉体,にくたい,the body; the flesh,1
逃げ出す,にげだす,to run away; to flee,1
西日,にしび,"Spanish-Japanese (dictionary, translation, etc.); westering sun",1
滲む,にじむ,to run (of liquid); to spread,1
日夜,にちや,day and night; around the clock,1
日当,にっとう,daily allowance; daily wages,1
荷造り,にづくり,packing; baling,1
担う,になう,to carry on one's shoulder; to shoulder,1
二人,ににん,two persons; two people,1
にも拘らず,にもかかわらず,in spite of; despite,1
入手,にゅうしゅ,acquisition; obtaining,1
入賞,にゅうしょう,winning a prize; placing (high; in a contest),1
入浴,にゅうよく,bathing; going in the bath,1
尿,にょう,urine,1
俄か,にわか,sudden; abrupt,1
認識,にんしき,recognition; awareness,1
妊娠,にんしん,pregnancy; conception,1
人情,にんじょう,humanity; empathy,1
任務,にんむ,duty; function,1
任命,にんめい,appointment; nomination,1
抜かす,ぬかす,to omit; to leave out,1
抜け出す,ぬけだす,to slip out; to sneak away,1
盗み,ぬすみ,stealing; theft,1
沼,ぬま,marsh; swamp,1
音,ね,sound; noise,1
値打ち,ねうち,value; worth,1
寝かせる,ねかせる,to put to bed; to let sleep,1
捻子,ねじ,"screw; key (of a clock, watch, etc.)",1
ねじ回し,ねじまわし,screwdriver,1
捻じれる,ねじれる,to get twisted; to get crooked,1
鼠,ねず,mouse; rat,1
妬む,ねたむ,to be jealous of; to envy,1
強請る,ねだる,to solicit; to demand,1
熱湯,ねっとう,hot bath; bath that is warmer than usual,1
熱意,ねつい,zeal; enthusiasm,1
熱量,ねつりょう,"quantity of heat (e.g. in calories, BTU, etc.); heat value",1
粘り,ねばり,stickiness; viscosity,1
粘る,ねばる,to be sticky; to be adhesive,1
値引き,ねびき,price reduction; discount,1
根回し,ねまわし,laying the groundwork; behind-the-scenes maneuvering,1
眠たい,ねむたい,sleepy; drowsy,1
練る,ねる,to knead; to thicken into a paste (stirring over a flame),1
念,ねん,sense; idea,1
年鑑,ねんかん,yearbook; almanac,1
年号,ねんごう,"name of an imperial era (e.g. Heisei, Shōwa); Japanese era name",1
燃焼,ねんしょう,burning; combustion,1
年生,ねんせい,nth-year student; nth-year pupil,1
年長,ねんちょう,senior; older,1
燃料,ねんりょう,fuel,1
年輪,ねんりん,annual tree ring; growth ring,1
脳,のう,brain; skull,1
農耕,のうこう,farming; agriculture,1
農場,のうじょう,farm (agriculture),1
農地,のうち,agricultural land; farmland,1
納入,のうにゅう,"payment (of taxes, fees, etc.); supply (of goods)",1
逃す,のがす,to miss (e.g. a chance); to lose,1
逃れる,のがれる,to escape,1
軒並み,のきなみ,row of houses; every house,1
鋸,のこぎり,saw,1
望ましい,のぞましい,desirable; hoped for,1
臨む,のぞむ,to look out on; to overlook,1
乗っ取る,のっとる,"to take possession of (forcibly); to take over (a company, account, etc.)",1
長閑,のどか,tranquil; calm,1
罵る,ののしる,to abuse (verbally); to curse at,1
延べ,のべ,futures; credit (buying),1
飲み込む,のみこむ,to swallow; to gulp down,1
乗り換え,のりかえ,"transfer (trains, buses, etc.); change",1
乗り込む,のりこむ,"to board (a train, plane, etc.); to get into (a car)",1
刃,は,edge (of a knife or sword); blade,1
派,は,group; faction,1
把握,はあく,"grasp (of the situation, meaning, etc.); understanding",1
肺,はい,lung,1
廃棄,はいき,disposal; abandonment,1
配給,はいきゅう,"distribution (e.g. films, rice); rationing (e.g. food, gasoline)",1
配偶者,はいぐうしゃ,spouse; wife,1
拝啓,はいけい,Dear (so and so); Dear Sir,1
背景,はいけい,background; scenery,1
背後,はいご,back; rear,1
灰皿,はいさら,ashtray,1
廃止,はいし,abolition; discontinuance,1
拝借,はいしゃく,borrowing,1
排除,はいじょ,exclusion; removal,1
排水,はいすい,drainage; draining,1
敗戦,はいせん,defeat; lost battle,1
配置,はいち,arrangement (of resources); deployment,1
配布,はいふ,distribution,1
配分,はいぶん,distribution; allotment,1
配慮,はいりょ,consideration; concern,1
配列,はいれつ,arranging; ordering,1
映える,はえる,to be Instagrammable; to be Insta-worthy,1
破壊,はかい,destruction; disruption,1
墓地,はかち,cemetery; graveyard,1
捗る,はかどる,to make (good) progress; to move right ahead (with the work),1
果ない,はかない,fleeting; transient,1
諮る,はかる,to consult with; to discuss,1
図る,はかる,to plan; to attempt,1
剥がす,はがす,to tear off; to peel off,1
破棄,はき,tearing up and discarding (e.g. documents); destruction,1
泊,はく,counter for nights of a stay; overnight stay,1
迫害,はくがい,persecution; oppression,1
薄弱,はくじゃく,feebleness; weakness,1
白状,はくじょう,confession,1
剥ぐ,はぐ,to tear off; to peel off,1
派遣,はけん,dispatch; despatch,1
励ます,はげます,to encourage; to cheer on,1
励む,はげむ,to work hard; to try hard,1
剥げる,はげる,to peel off; to come off,1
鋏,はさみ,scissors; shears,1
柱,はしら,"bridge (of a koto, etc.); cylinder",1
橋渡し,はしわたし,mediation; good offices,1
恥,はじ,shame; embarrassment,1
弾く,はじく,to flip; to snap,1
始め,はじめ,beginning; start,1
始めまして,はじめまして,nice to meet you; I'm glad to make your acquaintance,1
恥じらう,はじらう,to feel shy; to be bashful,1
恥じる,はじる,to feel ashamed,1
蓮,はす,sacred lotus (Nelumbo nucifera); Indian lotus,1
筈,はず,should (be); bound (to be),1
弾む,はずむ,to spring; to bound,1
破損,はそん,damage; breakage,1
機,はた,loom; chance,1
果たして,はたして,as was expected; just as one thought,1
果たす,はたす,to accomplish; to achieve,1
裸足,はだし,barefoot; superior to (e.g. a professional),1
蜂蜜,はちみつ,honey,1
発掘,はっくつ,excavation; exhumation,1
発生,はっせい,occurrence; incidence,1
発足,はっそく,starting; inauguration,1
初,はつ,"first doing of ... (ever, in one's life, in the new year, etc.); first",1
発,はつ,green dragon tile; winning hand with a pung (or kong) of green dragon tiles,1
発育,はついく,(physical) growth; development,1
発芽,はつが,germination; sprouting,1
発言,はつげん,statement; remark,1
発病,はつびょう,onset of an illness; falling ill,1
初耳,はつみみ,something heard for the first time; hearing something for the first time,1
果て,はて,end; extremity,1
果てる,はてる,to end; to be finished,1
話し合い,はなしあい,discussion; talk,1
甚だ,はなはだ,very; greatly,1
華々しい,はなばなしい,brilliant; splendid,1
花びら,はなびら,petal,1
華やか,はなやか,bright and beautiful; gorgeous,1
阻む,はばむ,to keep someone from doing; to stop,1
浜,はま,beach; seashore,1
浜辺,はまべ,beach; foreshore,1
填まる,はまる,to fit; to get into,1
歯磨,はみがき,dental brushing; brushing one's teeth,1
填める,はめる,to cover; to bury (e.g. one's face in hands),1
生やす,はやす,to grow; to cultivate,1
早める,はやめる,to bring forward (e.g. by 3 hours); to advance,1
流行,はやり,fashion; fad,1
腹立ち,はらだち,anger,1
原っぱ,はらっぱ,open field; empty lot,1
張り紙,はりがみ,paper patch attached to something; paper backing,1
遥か,はるか,far away; far off,1
破裂,はれつ,bursting; rupture,1
腫れる,はれる,to swell (from inflammation); to become swollen,1
班,はん,group; party,1
判,はん,seal; stamp,1
版,はん,edition; version,1
繁栄,はんえい,prosperity; thriving,1
反感,はんかん,antipathy; antagonism,1
版画,はんが,woodcut; woodblock print,1
反響,はんきょう,echo; reverberation,1
判決,はんけつ,judicial decision; judgement,1
反撃,はんげき,counterattack; counteroffensive,1
反射,はんしゃ,reflection; reverberation,1
繁殖,はんしょく,breeding; propagation,1
繁盛,はんじょう,prosperity; flourishing,1
反する,はんする,to be contrary (to); to go against,1
判定,はんてい,judgement; judgment,1
反応,はんのう,reaction; response,1
半端,はんぱ,remnant; fragment,1
反発,はんぱつ,opposition; rebellion,1
反乱,はんらん,insurrection; mutiny,1
氾濫,はんらん,overflowing; flood,1
黴菌,ばいきん,germ; germs,1
賠償,ばいしょう,compensation; reparations,1
倍率,ばいりつ,magnification; leverage,1
馬鹿馬鹿しい,ばかばかしい,absurd; ridiculous,1
馬鹿らしい,ばからしい,absurd; foolish,1
漠然,ばくぜん,vague; obscure,1
爆弾,ばくだん,"bomb; alcohol with liquor added (esp. wine-based shōchū highball, also beer with whiskey)",1
爆破,ばくは,destructive blast; blowing up,1
暴露,ばくろ,disclosure; exposure,1
化ける,ばける,"to take the form of (esp. in ref. to a spirit, fox, raccoon dog, etc.); to assume the shape of",1
罰,ばち,(divine) punishment; curse,1
伐,ばつ,x (mark); cross,1
ばてる,ばてる,to be exhausted; to be worn out,1
発条,ばね,spring (device); spring (in one's legs),1
散蒔く,ばらまく,to scatter; to disseminate (e.g. a rumor),1
判,ばん,seal; stamp,1
万,ばん,completely; absolutely,1
万人,ばんじん,all people; everybody,1
万能,ばんのう,all-purpose; utility,1
番目,ばんめ,joint; hinge,1
非,ひ,fault; error,1
費,ひ,Atai (post-Taika reform hereditary title often given to regional administrators); cost,1
延いては,ひいては,by extension; in turn,1
控室,ひかえしつ,waiting room; anteroom,1
控える,ひかえる,to be temperate in; to refrain,1
悲観,ひかん,pessimism; (taking a) gloomy view,1
匹,ひき,counter for small animals; counter for rolls of cloth (two han in size),1
引き上げる,ひきあげる,to pull up; to drag up,1
率いる,ひきいる,to lead; to spearhead (a group),1
引き受ける,ひきうける,to take on; to undertake,1
引き起こす,ひきおこす,to cause; to induce,1
引き下げる,ひきさげる,"to lower (a price, tax, standard, etc.); to bring down",1
引きずる,ひきずる,to drag; to trail,1
引き取る,ひきとる,to take into one's possession; to receive,1
引き分け,ひきわけ,draw (in competition); tie game,1
否決,ひけつ,rejection; negation,1
非行,ひこう,delinquency; misconduct,1
日頃,ひごろ,usually; habitually,1
久しい,ひさしい,long (time that has passed); old (story),1
久し振り,ひさしぶり,a long time (since the last time); first in a long time,1
悲惨,ひさん,disastrous; tragic,1
秘書,ひしょ,(private) secretary; treasured book,1
比重,ひじゅう,specific gravity; relative density,1
密か,ひそか,secret; private,1
浸す,ひたす,to soak; to dip,1
一向,ひたすら,completely; absolutely,1
左利き,ひだりきき,left-handedness; left-handed person,1
引っ掻く,ひっかく,to scratch; to claw,1
引っ掛ける,ひっかける,to hang (something) on (something); to throw on (clothes),1
必修,ひっしゅう,required (subject),1
匹敵,ひってき,to be a match for; to rival,1
未,ひつじ,not yet; un-,1
必然,ひつぜん,inevitable; necessary,1
一息,ひといき,one breath; time of one breath,1
単,ひとえ,single; simple,1
人柄,ひとがら,personality; character,1
一頃,ひところ,once; some time ago,1
人質,ひとじち,hostage,1
一筋,ひとすき,one line; one stretch (e.g. of road),1
一まず,ひとまず,for now; for the time being,1
一人でに,ひとりでに,by itself; automatically,1
酷い,ひどい,cruel; merciless,1
日取り,ひどり,fixed date; appointed day,1
雛,ひな,young bird; chick,1
日向,ひなた,Hyūga (former province located in present-day Miyazaki Prefecture); Hyūga (city),1
非難,ひなん,criticism; blame,1
避難,ひなん,taking refuge; finding shelter,1
日の丸,ひのまる,red or gold circle representing the Sun; national flag of Japan,1
火花,ひばな,spark,1
日々,ひび,daily; everyday,1
悲鳴,ひめい,shriek; scream,1
百科事典,ひゃっかじてん,encyclopedia; encyclopaedia,1
百科辞典,ひゃっかじてん,encyclopedia; encyclopaedia,1
冷やかす,ひやかす,to banter; to make fun of,1
日焼け,ひやけ,sunburn; suntan,1
票,ひょう,vote; ballot,1
標語,ひょうご,motto; slogan,1
ひょっと,ひょっと,possibly; perhaps,1
平たい,ひらたい,flat; even,1
比率,ひりつ,ratio; proportion,1
肥料,ひりょう,manure; fertilizer,1
比例,ひれい,proportion; proportional representation section (of an election),1
疲労,ひろう,fatigue; weariness,1
広まる,ひろまる,to spread; to be propagated,1
貧困,ひんこん,poverty; penury,1
品質,ひんしつ,quality (of a product or a service),1
品種,ひんしゅ,type (of goods); sort,1
貧弱,ひんじゃく,poor; meagre,1
頻繁,ひんぱん,frequent; incessant,1
美,び,august; beautiful,1
微笑,びしょう,smile,1
美術,びじゅつ,art; fine arts,1
吃驚,びっくり,surprise; to be surprised,1
びっしょり,びっしょり,wet through; drenched,1
描写,びょうしゃ,depiction; description,1
びり,びり,last (on the list); (at the) bottom,1
微量,びりょう,minuscule amount; extremely small quantity,1
敏感,びんかん,sensitive; alert,1
貧乏,びんぼう,poverty-stricken; destitute,1
歩,ふ,bu; commission,1
不意,ふい,sudden; abrupt,1
封,ふう,seal,1
封鎖,ふうさ,blockade; lockdown,1
風習,ふうしゅう,custom,1
風俗,ふうぞく,manners; customs,1
風土,ふうど,natural features; topography,1
不可欠,ふかけつ,indispensable; essential,1
深める,ふかめる,to deepen; to heighten,1
不吉,ふきつ,ominous; sinister,1
不況,ふきょう,(economic) depression; recession,1
布巾,ふきん,dish towel; tea towel,1
福,ふく,good fortune; happiness,1
復旧,ふくきゅう,restoration; restitution,1
複合,ふくごう,composite; combined,1
福祉,ふくし,welfare; well-being,1
覆面,ふくめん,mask; veil,1
膨れる,ふくれる,to swell (out); to expand,1
不景気,ふけいき,economic slump; hard times,1
老ける,ふける,to age; to grow old (esp. in appearance),1
布告,ふこく,edict; ordinance,1
富豪,ふごう,wealthy person; millionaire,1
負債,ふさい,debt; liabilities,1
相応しい,ふさわしい,appropriate; adequate,1
不在,ふざい,absence; disregard,1
不山戯る,ふざける,to joke; to jest,1
負傷,ふしょう,injury; wound,1
不審,ふしん,doubt; suspicion,1
不振,ふしん,dullness; slump,1
不順,ふじゅん,irregular; unseasonable,1
付属,ふぞく,being attached (to); being affiliated (to),1
負担,ふたん,burden; load,1
不調,ふちょう,bad condition; poor condition,1
復活,ふっかつ,"revival (of an old system, custom, fashion, etc.); restoration",1
復興,ふっこう,revival; reconstruction,1
沸騰,ふっとう,boiling; seething,1
仏,ふつ,France; Buddha,1
不図,ふと,suddenly; casually,1
不当,ふとう,unfair; unjust,1
不動産,ふどうさん,real estate,1
