word,reading,meaning,level,language,source
清純,せいじゅん,"purity, innocence",N1,ja,JLPT (open-anki-jlpt-decks)
聖書,せいしょ,Bible,N1,ja,JLPT (open-anki-jlpt-decks)
正常,せいじょう,"normalcy, normality, normal",N1,ja,JLPT (open-anki-jlpt-decks)
制する,せいする,"to control, to command",N1,ja,JLPT (open-anki-jlpt-decks)
整然,せいぜん,"orderly, regular, well-organized",N1,ja,JLPT (open-anki-jlpt-decks)
盛装,せいそう,"be dressed up, wear rich clothes",N1,ja,JLPT (open-anki-jlpt-decks)
盛大,せいだい,"grand, prosperous, magnificent",N1,ja,JLPT (open-anki-jlpt-decks)
清濁,せいだく,"good and evil, purity and impurity",N1,ja,JLPT (open-anki-jlpt-decks)
制定,せいてい,"enactment, establishment, creation",N1,ja,JLPT (open-anki-jlpt-decks)
静的,せいてき,static,N1,ja,JLPT (open-anki-jlpt-decks)
製鉄,せいてつ,iron manufacture,N1,ja,JLPT (open-anki-jlpt-decks)
晴天,せいてん,fine weather,N1,ja,JLPT (open-anki-jlpt-decks)
正当,せいとう,"just, due, proper",N1,ja,JLPT (open-anki-jlpt-decks)
制服,せいふく,uniform,N1,ja,JLPT (open-anki-jlpt-decks)
征服,せいふく,"conquest, subjugation, overcoming",N1,ja,JLPT (open-anki-jlpt-decks)
製法,せいほう,"manufacturing method, recipe, formula",N1,ja,JLPT (open-anki-jlpt-decks)
精密,せいみつ,"precise, exact, detailed, minute",N1,ja,JLPT (open-anki-jlpt-decks)
税務署,ぜいむしょ,tax office,N1,ja,JLPT (open-anki-jlpt-decks)
制約,せいやく,"limitation, constraints",N1,ja,JLPT (open-anki-jlpt-decks)
勢力,せいりょく,"influence, power, might, strength",N1,ja,JLPT (open-anki-jlpt-decks)
整列,せいれつ,"stand in a row, form a line",N1,ja,JLPT (open-anki-jlpt-decks)
セール,セール,sale,N1,ja,JLPT (open-anki-jlpt-decks)
急かす,せかす,"to hurry, to urge on",N1,ja,JLPT (open-anki-jlpt-decks)
伜,せがれ,"son, my son",N1,ja,JLPT (open-anki-jlpt-decks)
責務,せきむ,"duty, obligation",N1,ja,JLPT (open-anki-jlpt-decks)
セクション,セクション,section,N1,ja,JLPT (open-anki-jlpt-decks)
世辞,せじ,"flattery, compliment",N1,ja,JLPT (open-anki-jlpt-decks)
世帯,せたい,household,N1,ja,JLPT (open-anki-jlpt-decks)
是正,ぜせい,"correction, revision",N1,ja,JLPT (open-anki-jlpt-decks)
世代,せだい,generation,N1,ja,JLPT (open-anki-jlpt-decks)
切開,せっかい,"opening up, cutting through",N1,ja,JLPT (open-anki-jlpt-decks)
セックス,セックス,sex,N1,ja,JLPT (open-anki-jlpt-decks)
切実,せつじつ,"compelling, serious, severe, acute",N1,ja,JLPT (open-anki-jlpt-decks)
接触,せっしょく,"touch, contact",N1,ja,JLPT (open-anki-jlpt-decks)
接続詞,せつぞくし,conjunction,N1,ja,JLPT (open-anki-jlpt-decks)
設置,せっち,"establishment, institution",N1,ja,JLPT (open-anki-jlpt-decks)
折衷,せっちゅう,"compromise, cross, blending, eclecticism",N1,ja,JLPT (open-anki-jlpt-decks)
設定,せってい,"establishment, creation",N1,ja,JLPT (open-anki-jlpt-decks)
説得,せっとく,persuasion,N1,ja,JLPT (open-anki-jlpt-decks)
切ない,せつない,"painful, trying, sad",N1,ja,JLPT (open-anki-jlpt-decks)
絶版,ぜっぱん,out of print,N1,ja,JLPT (open-anki-jlpt-decks)
設立,せつりつ,"establishment, foundation, institution",N1,ja,JLPT (open-anki-jlpt-decks)
攻め,せめ,"attack, offense",N1,ja,JLPT (open-anki-jlpt-decks)
ゼリー,ゼリー,jelly,N1,ja,JLPT (open-anki-jlpt-decks)
セレモニー,セレモニー,ceremony,N1,ja,JLPT (open-anki-jlpt-decks)
世論,せろん,public opinion,N1,ja,JLPT (open-anki-jlpt-decks)
先,せん,"priority, precedence, previous",N1,ja,JLPT (open-anki-jlpt-decks)
繊維,せんい,"fiber, fiber, textile",N1,ja,JLPT (open-anki-jlpt-decks)
全快,ぜんかい,complete recovery of health,N1,ja,JLPT (open-anki-jlpt-decks)
宣教,せんきょう,religious mission,N1,ja,JLPT (open-anki-jlpt-decks)
宣言,せんげん,"declaration, proclamation, announcement",N1,ja,JLPT (open-anki-jlpt-decks)
戦災,せんさい,war damage,N1,ja,JLPT (open-anki-jlpt-decks)
専修,せんしゅう,specialization,N1,ja,JLPT (open-anki-jlpt-decks)
戦術,せんじゅつ,tactics,N1,ja,JLPT (open-anki-jlpt-decks)
センス,センス,"sense (for music, style, tact, etc.)",N1,ja,JLPT (open-anki-jlpt-decks)
潜水,せんすい,diving,N1,ja,JLPT (open-anki-jlpt-decks)
全盛,ぜんせい,height of prosperity,N1,ja,JLPT (open-anki-jlpt-decks)
先代,せんだい,"family predecessor, previous age, previous generation",N1,ja,JLPT (open-anki-jlpt-decks)
先だって,せんだって,"recently, the other day",N1,ja,JLPT (open-anki-jlpt-decks)
先着,せんちゃく,first arrival,N1,ja,JLPT (open-anki-jlpt-decks)
前提,ぜんてい,"preamble, premise, prerequisite",N1,ja,JLPT (open-anki-jlpt-decks)
先天的,せんてんてき,"inherent, congenital, hereditary",N1,ja,JLPT (open-anki-jlpt-decks)
前途,ぜんと,"future prospects, outlook, the journey ahead",N1,ja,JLPT (open-anki-jlpt-decks)
戦闘,せんとう,"battle, fight, combat",N1,ja,JLPT (open-anki-jlpt-decks)
潜入,せんにゅう,"infiltration, sneaking in",N1,ja,JLPT (open-anki-jlpt-decks)
船舶,せんぱく,ship,N1,ja,JLPT (open-anki-jlpt-decks)
全滅,ぜんめつ,annihilation,N1,ja,JLPT (open-anki-jlpt-decks)
専用,せんよう,"exclusive use, personal use",N1,ja,JLPT (open-anki-jlpt-decks)
占領,せんりょう,"occupation, possession, have a room to oneself",N1,ja,JLPT (open-anki-jlpt-decks)
善良,ぜんりょう,"goodness, excellence, virtue",N1,ja,JLPT (open-anki-jlpt-decks)
戦力,せんりょく,war potential,N1,ja,JLPT (open-anki-jlpt-decks)
前例,ぜんれい,precedent,N1,ja,JLPT (open-anki-jlpt-decks)
相応,そうおう,"suitability, fitness",N1,ja,JLPT (open-anki-jlpt-decks)
総会,そうかい,general meeting,N1,ja,JLPT (open-anki-jlpt-decks)
創刊,そうかん,"launching (e.g., newspaper, first issue)",N1,ja,JLPT (open-anki-jlpt-decks)
雑木,ぞうき,"various kinds of small trees, assorted trees",N1,ja,JLPT (open-anki-jlpt-decks)
早急,そうきゅう,urgent,N1,ja,JLPT (open-anki-jlpt-decks)
早急,さっきゅう,urgent,N1,ja,JLPT (open-anki-jlpt-decks)
増強,ぞうきょう,"reinforce, increase",N1,ja,JLPT (open-anki-jlpt-decks)
送金,そうきん,"remittance, sending money",N1,ja,JLPT (open-anki-jlpt-decks)
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)",N1,ja,JLPT (open-anki-jlpt-decks)
総合,そうごう,"synthesis, generalization",N1,ja,JLPT (open-anki-jlpt-decks)
捜索,そうさく,"search (esp. for someone or something missing, investigation)",N1,ja,JLPT (open-anki-jlpt-decks)
蔵相,ぞうしょう,Minister of Finance,N1,ja,JLPT (open-anki-jlpt-decks)
装飾,そうしょく,ornament,N1,ja,JLPT (open-anki-jlpt-decks)
増進,ぞうしん,"promoting, increase, advance",N1,ja,JLPT (open-anki-jlpt-decks)
相対,そうたい,relative,N1,ja,JLPT (open-anki-jlpt-decks)
壮大,そうだい,"magnificent, grand, majestic",N1,ja,JLPT (open-anki-jlpt-decks)
騒動,そうどう,"strife, riot, rebellion",N1,ja,JLPT (open-anki-jlpt-decks)
遭難,そうなん,"disaster, shipwreck, accident",N1,ja,JLPT (open-anki-jlpt-decks)
相場,そうば,"market price, speculation, estimation",N1,ja,JLPT (open-anki-jlpt-decks)
装備,そうび,equipment,N1,ja,JLPT (open-anki-jlpt-decks)
創立,そうりつ,"establishment, founding",N1,ja,JLPT (open-anki-jlpt-decks)
添える,そえる,"to add to, to attach, to accompany",N1,ja,JLPT (open-anki-jlpt-decks)
ソース,ソース,source,N1,ja,JLPT (open-anki-jlpt-decks)
即座に,そくざに,"immediately, right away",N1,ja,JLPT (open-anki-jlpt-decks)
促進,そくしん,"promotion, acceleration, encouragement",N1,ja,JLPT (open-anki-jlpt-decks)
即する,そくする,"to conform to, to agree with, to be adapted to,",N1,ja,JLPT (open-anki-jlpt-decks)
束縛,そくばく,"restraint, restriction, confinement",N1,ja,JLPT (open-anki-jlpt-decks)
側面,そくめん,"side, sidelight, lateral",N1,ja,JLPT (open-anki-jlpt-decks)
損う,そこなう,"to harm, to hurt",N1,ja,JLPT (open-anki-jlpt-decks)
そこら,そこら,"everywhere, somewhere",N1,ja,JLPT (open-anki-jlpt-decks)
素材,そざい,"raw materials, subject matter",N1,ja,JLPT (open-anki-jlpt-decks)
阻止,そし,"obstruction, check, hindrance",N1,ja,JLPT (open-anki-jlpt-decks)
訴訟,そしょう,"litigation, lawsuit",N1,ja,JLPT (open-anki-jlpt-decks)
育ち,そだち,"breeding, growth",N1,ja,JLPT (open-anki-jlpt-decks)
措置,そち,"measure, step",N1,ja,JLPT (open-anki-jlpt-decks)
ソックス,ソックス,socks,N1,ja,JLPT (open-anki-jlpt-decks)
素っ気無い,そっけない,"cold, short, curt, blunt",N1,ja,JLPT (open-anki-jlpt-decks)
外方,そっぽ,look (or turn) the other way,N1,ja,JLPT (open-anki-jlpt-decks)
備え付ける,そなえつける,"to provide, to equip, to install",N1,ja,JLPT (open-anki-jlpt-decks)
備わる,そなわる,to be furnished with,N1,ja,JLPT (open-anki-jlpt-decks)
具わる,そなわる,to be furnished with,N1,ja,JLPT (open-anki-jlpt-decks)
聳える,そびえる,"to rise, to tower, to soar",N1,ja,JLPT (open-anki-jlpt-decks)
素朴,そぼく,"simplicity, artlessness, naivety",N1,ja,JLPT (open-anki-jlpt-decks)
背く,そむく,"to run counter to, to go against",N1,ja,JLPT (open-anki-jlpt-decks)
染まる,そまる,to be dyed,N1,ja,JLPT (open-anki-jlpt-decks)
染める,そめる,"to dye, to color",N1,ja,JLPT (open-anki-jlpt-decks)
そらす,そらす,"to bend, to warp",N1,ja,JLPT (open-anki-jlpt-decks)
そり (～にのる),そり (～にのる),"sleigh, sled",N1,ja,JLPT (open-anki-jlpt-decks)
反る,そる,"to warp, to be warped, to curve",N1,ja,JLPT (open-anki-jlpt-decks)
それゆえ,それゆえ,"therefore, for that reason, so",N1,ja,JLPT (open-anki-jlpt-decks)
ソロ,ソロ,solo,N1,ja,JLPT (open-anki-jlpt-decks)
揃い,そろい,"set, suit, uniform",N1,ja,JLPT (open-anki-jlpt-decks)
ぞんざい,ぞんざい,"rude, careless, slovenly",N1,ja,JLPT (open-anki-jlpt-decks)
損失,そんしつ,loss,N1,ja,JLPT (open-anki-jlpt-decks)
存続,そんぞく,"duration, continuance",N1,ja,JLPT (open-anki-jlpt-decks)
ダース,ダース,dozen,N1,ja,JLPT (open-anki-jlpt-decks)
対応,たいおう,dealing with,N1,ja,JLPT (open-anki-jlpt-decks)
大家,たいか,"rich family, distinguished family",N1,ja,JLPT (open-anki-jlpt-decks)
退化,たいか,"degeneration, retrogression",N1,ja,JLPT (open-anki-jlpt-decks)
大概,たいがい,"in general, mainly",N1,ja,JLPT (open-anki-jlpt-decks)
体格,たいかく,"physique, constitution",N1,ja,JLPT (open-anki-jlpt-decks)
大金,たいきん,large amount of money,N1,ja,JLPT (open-anki-jlpt-decks)
待遇,たいぐう,"treatment, reception",N1,ja,JLPT (open-anki-jlpt-decks)
対決,たいけつ,"confrontation, showdown",N1,ja,JLPT (open-anki-jlpt-decks)
体験,たいけん,personal experience,N1,ja,JLPT (open-anki-jlpt-decks)
対抗,たいこう,"opposition, antagonism",N1,ja,JLPT (open-anki-jlpt-decks)
退治,たいじ,extermination,N1,ja,JLPT (open-anki-jlpt-decks)
大衆,たいしゅう,general public,N1,ja,JLPT (open-anki-jlpt-decks)
対処,たいしょ,"deal with, cope",N1,ja,JLPT (open-anki-jlpt-decks)
退職,たいしょく,retirement (from office),N1,ja,JLPT (open-anki-jlpt-decks)
題する,だいする,to title,N1,ja,JLPT (open-anki-jlpt-decks)
態勢,たいせい,"attitude, conditions, tendency",N1,ja,JLPT (open-anki-jlpt-decks)
対談,たいだん,"talk, dialogue",N1,ja,JLPT (open-anki-jlpt-decks)
大胆,だいたん,"bold, daring, audacious",N1,ja,JLPT (open-anki-jlpt-decks)
対等,たいとう,equivalent,N1,ja,JLPT (open-anki-jlpt-decks)
台無し,だいなし,"mess, spoiled, (come to) nothing",N1,ja,JLPT (open-anki-jlpt-decks)
滞納,たいのう,"non-payment, default",N1,ja,JLPT (open-anki-jlpt-decks)
対比,たいひ,"contrast, comparison",N1,ja,JLPT (open-anki-jlpt-decks)
タイピスト,タイピスト,typist,N1,ja,JLPT (open-anki-jlpt-decks)
大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)",N1,ja,JLPT (open-anki-jlpt-decks)
大便,だいべん,feces,N1,ja,JLPT (open-anki-jlpt-decks)
代弁,だいべん,speak for another,N1,ja,JLPT (open-anki-jlpt-decks)
待望,たいぼう,"long-expected, waiting",N1,ja,JLPT (open-anki-jlpt-decks)
台本,だいほん,"libretto, scenario",N1,ja,JLPT (open-anki-jlpt-decks)
タイマー,タイマー,timer,N1,ja,JLPT (open-anki-jlpt-decks)
怠慢,たいまん,"negligence, carelessness",N1,ja,JLPT (open-anki-jlpt-decks)
タイミング,タイミング,timing,N1,ja,JLPT (open-anki-jlpt-decks)
タイム,タイム,time,N1,ja,JLPT (open-anki-jlpt-decks)
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI",N1,ja,JLPT (open-anki-jlpt-decks)
対面,たいめん,"interview, meeting",N1,ja,JLPT (open-anki-jlpt-decks)
代用,だいよう,substitution,N1,ja,JLPT (open-anki-jlpt-decks)
体力,たいりょく,physical strength,N1,ja,JLPT (open-anki-jlpt-decks)
タイル,タイル,tile,N1,ja,JLPT (open-anki-jlpt-decks)
対話,たいわ,"conversation, dialogue",N1,ja,JLPT (open-anki-jlpt-decks)
耐える,たえる,"to endure, to put up with",N1,ja,JLPT (open-anki-jlpt-decks)
堪える,たえる,"to endure, to put up with",N1,ja,JLPT (open-anki-jlpt-decks)
絶える,たえる,"to die out, to become extinct",N1,ja,JLPT (open-anki-jlpt-decks)
断える,たえる,"to cease, to become extinct",N1,ja,JLPT (open-anki-jlpt-decks)
打開,だかい,"solution, breakthrough",N1,ja,JLPT (open-anki-jlpt-decks)
焚火,たきび,(open) fire,N1,ja,JLPT (open-anki-jlpt-decks)
妥協,だきょう,"compromise, giving in",N1,ja,JLPT (open-anki-jlpt-decks)
たくましい,たくましい,"burly, strong, sturdy",N1,ja,JLPT (open-anki-jlpt-decks)
巧み,たくみ,"skill, cleverness",N1,ja,JLPT (open-anki-jlpt-decks)
丈,たけ,"length, height",N1,ja,JLPT (open-anki-jlpt-decks)
打撃,だげき,"blow, damage; batting (baseball)",N1,ja,JLPT (open-anki-jlpt-decks)
妥結,だけつ,agreement,N1,ja,JLPT (open-anki-jlpt-decks)
駄作,ださく,poor work,N1,ja,JLPT (open-anki-jlpt-decks)
足し算,たしざん,addition,N1,ja,JLPT (open-anki-jlpt-decks)
多数決,たすうけつ,majority rule,N1,ja,JLPT (open-anki-jlpt-decks)
助け,たすけ,assistance,N1,ja,JLPT (open-anki-jlpt-decks)
携わる,たずさわる,"to engage, to involve",N1,ja,JLPT (open-anki-jlpt-decks)
漂う,ただよう,"to drift about, to float, to hang in air",N1,ja,JLPT (open-anki-jlpt-decks)
立ち去る,たちさる,"to leave, to depart",N1,ja,JLPT (open-anki-jlpt-decks)
立ち寄る,たちよる,"to stop by, to drop in for a short visit",N1,ja,JLPT (open-anki-jlpt-decks)
抱っこ,だっこ,(child's) hug,N1,ja,JLPT (open-anki-jlpt-decks)
達者,たっしゃ,"skillful, in good health",N1,ja,JLPT (open-anki-jlpt-decks)
脱出,だっしゅつ,escape,N1,ja,JLPT (open-anki-jlpt-decks)
脱する,だっする,"to escape from, to get out",N1,ja,JLPT (open-anki-jlpt-decks)
達成,たっせい,achievement,N1,ja,JLPT (open-anki-jlpt-decks)
脱退,だったい,"secession, withdrawal",N1,ja,JLPT (open-anki-jlpt-decks)
だったら,だったら,if it's the case,N1,ja,JLPT (open-anki-jlpt-decks)
立て替える,たてかえる,"to pay in advance, to pay for another",N1,ja,JLPT (open-anki-jlpt-decks)
建前,たてまえ,position; stance one takes in public; principle,N1,ja,JLPT (open-anki-jlpt-decks)
奉る,たてまつる,"to offer, to do respectfully",N1,ja,JLPT (open-anki-jlpt-decks)
だと,だと,if it's the case,N1,ja,JLPT (open-anki-jlpt-decks)
他動詞,たどうし,transitive verb (direct object),N1,ja,JLPT (open-anki-jlpt-decks)
辿り着く,たどりつく,"to reach, to make it somehow",N1,ja,JLPT (open-anki-jlpt-decks)
辿る,たどる,"to follow (road, to pursue (course), to follow up",N1,ja,JLPT (open-anki-jlpt-decks)
束ねる,たばねる,"to tie up in a bundle, to control",N1,ja,JLPT (open-anki-jlpt-decks)
だぶだぶ,だぶだぶ,"loose, baggy",N1,ja,JLPT (open-anki-jlpt-decks)
他方,たほう,"another side, on the other hand",N1,ja,JLPT (open-anki-jlpt-decks)
多忙,たぼう,busy,N1,ja,JLPT (open-anki-jlpt-decks)
給う,たまう,"to receive, to grant",N1,ja,JLPT (open-anki-jlpt-decks)
魂,たましい,"soul, spirit",N1,ja,JLPT (open-anki-jlpt-decks)
溜まり,たまり,"collected things, gathering place, arrears",N1,ja,JLPT (open-anki-jlpt-decks)
賜る,たまわる,"to grant, to bestow",N1,ja,JLPT (open-anki-jlpt-decks)
保つ,たもつ,"to keep, to preserve, to sustain",N1,ja,JLPT (open-anki-jlpt-decks)
たやすい,たやすい,"easy, simple, light",N1,ja,JLPT (open-anki-jlpt-decks)
多様,たよう,"diversity, variety",N1,ja,JLPT (open-anki-jlpt-decks)
だるい,だるい,"sluggish, feel heavy (tired), languid",N1,ja,JLPT (open-anki-jlpt-decks)
弛み,たるみ,"slack, slackening",N1,ja,JLPT (open-anki-jlpt-decks)
弛む,たるむ,"to slacken, to loosen, to relax",N1,ja,JLPT (open-anki-jlpt-decks)
垂れる,たれる,"to hang, to droop; to drip",N1,ja,JLPT (open-anki-jlpt-decks)
タレント,タレント,"talent, star, personality",N1,ja,JLPT (open-anki-jlpt-decks)
タワー,タワー,tower,N1,ja,JLPT (open-anki-jlpt-decks)
単一,たんいつ,"single, simple, sole",N1,ja,JLPT (open-anki-jlpt-decks)
短歌,たんか,31-syllable Japanese poem,N1,ja,JLPT (open-anki-jlpt-decks)
担架,たんか,"stretcher, litter",N1,ja,JLPT (open-anki-jlpt-decks)
短気,たんき,quick temper,N1,ja,JLPT (open-anki-jlpt-decks)
団結,だんけつ,"unity, union, solidarity",N1,ja,JLPT (open-anki-jlpt-decks)
探検,たんけん,"exploration, expedition",N1,ja,JLPT (open-anki-jlpt-decks)
断言,だんげん,"assertion, declaration, affirmation",N1,ja,JLPT (open-anki-jlpt-decks)
短縮,たんしゅく,"shortening, abbreviation, reduction",N1,ja,JLPT (open-anki-jlpt-decks)
断然,だんぜん,"firmly, absolutely, definitely",N1,ja,JLPT (open-anki-jlpt-decks)
炭素,たんそ,carbon (C),N1,ja,JLPT (open-anki-jlpt-decks)
短大,たんだい,junior college,N1,ja,JLPT (open-anki-jlpt-decks)
単調,たんちょう,"monotony, monotone, dullness",N1,ja,JLPT (open-anki-jlpt-decks)
単独,たんどく,"sole, single",N1,ja,JLPT (open-anki-jlpt-decks)
旦那,だんな,"master (of house), husband (informal)",N1,ja,JLPT (open-anki-jlpt-decks)
短波,たんぱ,short wave,N1,ja,JLPT (open-anki-jlpt-decks)
蛋白質,たんぱくしつ,protein,N1,ja,JLPT (open-anki-jlpt-decks)
ダンプ,ダンプ,dump truck,N1,ja,JLPT (open-anki-jlpt-decks)
断面,だんめん,cross section,N1,ja,JLPT (open-anki-jlpt-decks)
弾力,だんりょく,"elasticity, flexibility",N1,ja,JLPT (open-anki-jlpt-decks)
治安,ちあん,"public order, security",N1,ja,JLPT (open-anki-jlpt-decks)
チームワーク,チームワーク,teamwork,N1,ja,JLPT (open-anki-jlpt-decks)
チェンジ,チェンジ,change,N1,ja,JLPT (open-anki-jlpt-decks)
違える,ちがえる,to change,N1,ja,JLPT (open-anki-jlpt-decks)
畜産,ちくさん,animal husbandry,N1,ja,JLPT (open-anki-jlpt-decks)
畜生,ちくしょう,"beast, brute, damn",N1,ja,JLPT (open-anki-jlpt-decks)
蓄積,ちくせき,"accumulation, accumulate, store",N1,ja,JLPT (open-anki-jlpt-decks)
地形,ちけい,"landform, geographical features, topography",N1,ja,JLPT (open-anki-jlpt-decks)
知性,ちせい,intelligence,N1,ja,JLPT (open-anki-jlpt-decks)
乳,ちち,"milk, breast, loop",N1,ja,JLPT (open-anki-jlpt-decks)
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink",N1,ja,JLPT (open-anki-jlpt-decks)
秩序,ちつじょ,"order, regularity",N1,ja,JLPT (open-anki-jlpt-decks)
窒息,ちっそく,suffocation,N1,ja,JLPT (open-anki-jlpt-decks)
知的,ちてき,intellectual,N1,ja,JLPT (open-anki-jlpt-decks)
着手,ちゃくしゅ,"embarkation, launch",N1,ja,JLPT (open-anki-jlpt-decks)
着色,ちゃくしょく,"coloring, coloring",N1,ja,JLPT (open-anki-jlpt-decks)
着席,ちゃくせき,"sit down, seat",N1,ja,JLPT (open-anki-jlpt-decks)
着目,ちゃくもく,attention,N1,ja,JLPT (open-anki-jlpt-decks)
着陸,ちゃくりく,"landing, touch down",N1,ja,JLPT (open-anki-jlpt-decks)
着工,ちゃっこう,start of (construction) work,N1,ja,JLPT (open-anki-jlpt-decks)
茶の間,ちゃのま,living room (Japanese style),N1,ja,JLPT (open-anki-jlpt-decks)
茶の湯,ちゃのゆ,tea ceremony,N1,ja,JLPT (open-anki-jlpt-decks)
ちやほや,ちやほや,"pamper, make a fuss of, spoil",N1,ja,JLPT (open-anki-jlpt-decks)
チャンネル,チャンネル,a channel,N1,ja,JLPT (open-anki-jlpt-decks)
宙返り,ちゅうがえり,"somersault, looping-the-loop",N1,ja,JLPT (open-anki-jlpt-decks)
中継,ちゅうけい,"relay, hook-up",N1,ja,JLPT (open-anki-jlpt-decks)
忠告,ちゅうこく,"advice, warning",N1,ja,JLPT (open-anki-jlpt-decks)
中傷,ちゅうしょう,"slander, libel, defamation",N1,ja,JLPT (open-anki-jlpt-decks)
中枢,ちゅうすう,"center, mainstay, nucleus",N1,ja,JLPT (open-anki-jlpt-decks)
抽選,ちゅうせん,"lottery, raffle, drawing (of lots)",N1,ja,JLPT (open-anki-jlpt-decks)
中断,ちゅうだん,"interruption, suspension, break",N1,ja,JLPT (open-anki-jlpt-decks)
中毒,ちゅうどく,poisoning,N1,ja,JLPT (open-anki-jlpt-decks)
中腹,ちゅうふく,"mountain side, halfway up",N1,ja,JLPT (open-anki-jlpt-decks)
中立,ちゅうりつ,neutrality,N1,ja,JLPT (open-anki-jlpt-decks)
中和,ちゅうわ,"neutralize, counteract",N1,ja,JLPT (open-anki-jlpt-decks)
～著,～ちょ,written by ~,N1,ja,JLPT (open-anki-jlpt-decks)
腸,ちょう,"bowels, intestines",N1,ja,JLPT (open-anki-jlpt-decks)
蝶,ちょう,butterfly,N1,ja,JLPT (open-anki-jlpt-decks)
超,ちょう,"super-, ultra-, hyper-",N1,ja,JLPT (open-anki-jlpt-decks)
調印,ちょういん,"signature, sign, sealing",N1,ja,JLPT (open-anki-jlpt-decks)
聴覚,ちょうかく,the sense of hearing,N1,ja,JLPT (open-anki-jlpt-decks)
長官,ちょうかん,"chief, (government) secretary",N1,ja,JLPT (open-anki-jlpt-decks)
聴講,ちょうこう,"lecture attendance, auditing",N1,ja,JLPT (open-anki-jlpt-decks)
徴収,ちょうしゅう,"collection, levy",N1,ja,JLPT (open-anki-jlpt-decks)
聴診器,ちょうしんき,stethoscope,N1,ja,JLPT (open-anki-jlpt-decks)
調停,ちょうてい,"arbitration, conciliation, mediation",N1,ja,JLPT (open-anki-jlpt-decks)
重複,ちょうふく,"duplication, repetition, overlapping, redundancy, restoration",N1,ja,JLPT (open-anki-jlpt-decks)
長編,ちょうへん,"long (e.g., novel, film)",N1,ja,JLPT (open-anki-jlpt-decks)
重宝,ちょうほう,"convenient, useful",N1,ja,JLPT (open-anki-jlpt-decks)
調理,ちょうり,cooking,N1,ja,JLPT (open-anki-jlpt-decks)
調和,ちょうわ,harmony,N1,ja,JLPT (open-anki-jlpt-decks)
ちょくちょく,ちょくちょく,"often, frequently, now and then, occasionally",N1,ja,JLPT (open-anki-jlpt-decks)
直面,ちょくめん,confrontation,N1,ja,JLPT (open-anki-jlpt-decks)
著書,ちょしょ,"literary work, book",N1,ja,JLPT (open-anki-jlpt-decks)
貯蓄,ちょちく,savings,N1,ja,JLPT (open-anki-jlpt-decks)
直感,ちょっかん,"intuition, instinct",N1,ja,JLPT (open-anki-jlpt-decks)
著名,ちょめい,"well-known, noted, celebrated",N1,ja,JLPT (open-anki-jlpt-decks)
ちらっと,ちらっと,"at a glance, by accident",N1,ja,JLPT (open-anki-jlpt-decks)
塵,ちり,"dust, dirt",N1,ja,JLPT (open-anki-jlpt-decks)
塵取り,ちりとり,dustpan,N1,ja,JLPT (open-anki-jlpt-decks)
賃金,ちんぎん,wages,N1,ja,JLPT (open-anki-jlpt-decks)
沈殿,ちんでん,"precipitation, deposition, settlement",N1,ja,JLPT (open-anki-jlpt-decks)
沈没,ちんぼつ,"sinking, foundering",N1,ja,JLPT (open-anki-jlpt-decks)
沈黙,ちんもく,"silence, reticence",N1,ja,JLPT (open-anki-jlpt-decks)
陳列,ちんれつ,"exhibition, display, show",N1,ja,JLPT (open-anki-jlpt-decks)
追及,ついきゅう,"investigation, inquiry",N1,ja,JLPT (open-anki-jlpt-decks)
追跡,ついせき,pursuit,N1,ja,JLPT (open-anki-jlpt-decks)
追放,ついほう,"exile, banishment",N1,ja,JLPT (open-anki-jlpt-decks)
費やす,ついやす,"to spend, to devote, to waste",N1,ja,JLPT (open-anki-jlpt-decks)
墜落,ついらく,"falling, crashing",N1,ja,JLPT (open-anki-jlpt-decks)
痛感,つうかん,"feeling keenly, fully realizing",N1,ja,JLPT (open-anki-jlpt-decks)
通常,つうじょう,"common, normal, usual",N1,ja,JLPT (open-anki-jlpt-decks)
痛切,つうせつ,"keen, deep",N1,ja,JLPT (open-anki-jlpt-decks)
杖,つえ,cane,N1,ja,JLPT (open-anki-jlpt-decks)
使い道,つかいみち,use,N1,ja,JLPT (open-anki-jlpt-decks)
仕える,つかえる,"to serve, to work for",N1,ja,JLPT (open-anki-jlpt-decks)
司る,つかさどる,"to rule, to govern, to administer",N1,ja,JLPT (open-anki-jlpt-decks)
つかの間,つかのま,"moment, brief time,",N1,ja,JLPT (open-anki-jlpt-decks)
月並,つきなみ,"conventional, trite, common",N1,ja,JLPT (open-anki-jlpt-decks)
継目,つぎめ,"joint, seam",N1,ja,JLPT (open-anki-jlpt-decks)
尽きる,つきる,"to be used up, to be run out",N1,ja,JLPT (open-anki-jlpt-decks)
尽くす,つくす,"to exhaust, to run out; to devote, to serve",N1,ja,JLPT (open-anki-jlpt-decks)
つくづく,つくづく,"completely, really",N1,ja,JLPT (open-anki-jlpt-decks)
作り,つくり,"make up, structure, physique",N1,ja,JLPT (open-anki-jlpt-decks)
造り,つくり,"make up, structure, physique",N1,ja,JLPT (open-anki-jlpt-decks)
繕う,つくろう,"to mend, to repair",N1,ja,JLPT (open-anki-jlpt-decks)
