word,reading,meaning,level,language,source
小切手,こぎって,"cheque, check",N1,ja,JLPT (open-anki-jlpt-decks)
国産,こくさん,domestic products,N1,ja,JLPT (open-anki-jlpt-decks)
国定,こくてい,"state-sponsored, national",N1,ja,JLPT (open-anki-jlpt-decks)
告白,こくはく,"confession, acknowledgment",N1,ja,JLPT (open-anki-jlpt-decks)
国防,こくぼう,national defense,N1,ja,JLPT (open-anki-jlpt-decks)
国有,こくゆう,national ownership,N1,ja,JLPT (open-anki-jlpt-decks)
極楽,ごくらく,paradise,N1,ja,JLPT (open-anki-jlpt-decks)
国連,こくれん,"U.N., United Nations",N1,ja,JLPT (open-anki-jlpt-decks)
焦げ茶,こげちゃ,dark brown,N1,ja,JLPT (open-anki-jlpt-decks)
語源,ごげん,"word root, word derivation, etymology",N1,ja,JLPT (open-anki-jlpt-decks)
心地,ここち,"feeling, sensation, mood",N1,ja,JLPT (open-anki-jlpt-decks)
心得,こころえ,"knowledge, information",N1,ja,JLPT (open-anki-jlpt-decks)
心掛け,こころがけ,"readiness, intention, aim",N1,ja,JLPT (open-anki-jlpt-decks)
心掛ける,こころがける,"to bear in mind, to aim to do",N1,ja,JLPT (open-anki-jlpt-decks)
志,こころざし,"will, intention, motive",N1,ja,JLPT (open-anki-jlpt-decks)
志す,こころざす,"to plan, to intend, to aspire to",N1,ja,JLPT (open-anki-jlpt-decks)
心強い,こころづよい,"heartening, reassuring",N1,ja,JLPT (open-anki-jlpt-decks)
心細い,こころぼそい,"helpless, hopeless, discouraging",N1,ja,JLPT (open-anki-jlpt-decks)
試み,こころみ,"trial, experiment",N1,ja,JLPT (open-anki-jlpt-decks)
試みる,こころみる,"to try, to test",N1,ja,JLPT (open-anki-jlpt-decks)
快い,こころよい,"pleasant, agreeable",N1,ja,JLPT (open-anki-jlpt-decks)
誤差,ごさ,error,N1,ja,JLPT (open-anki-jlpt-decks)
ございます (かん),ございます (かん),"to be (polite, to exist)",N1,ja,JLPT (open-anki-jlpt-decks)
孤児,こじ,orphan,N1,ja,JLPT (open-anki-jlpt-decks)
こじれる,こじれる,"to get complicated, to grow worse",N1,ja,JLPT (open-anki-jlpt-decks)
こす (みずを～),こす (みずを～),"to strain, to filter",N1,ja,JLPT (open-anki-jlpt-decks)
梢,こずえ,treetop,N1,ja,JLPT (open-anki-jlpt-decks)
個性,こせい,"individuality, personality, idiosyncrasy",N1,ja,JLPT (open-anki-jlpt-decks)
戸籍,こせき,"census, family register",N1,ja,JLPT (open-anki-jlpt-decks)
古代,こだい,ancient times,N1,ja,JLPT (open-anki-jlpt-decks)
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",N1,ja,JLPT (open-anki-jlpt-decks)
こだわる,こだわる,"to fuss over, to be particular about",N1,ja,JLPT (open-anki-jlpt-decks)
誇張,こちょう,exaggeration,N1,ja,JLPT (open-anki-jlpt-decks)
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",N1,ja,JLPT (open-anki-jlpt-decks)
滑稽,こっけい,"funny, humorous, comical",N1,ja,JLPT (open-anki-jlpt-decks)
国交,こっこう,diplomatic relations,N1,ja,JLPT (open-anki-jlpt-decks)
骨董品,こっとうひん,curio,N1,ja,JLPT (open-anki-jlpt-decks)
固定,こてい,"fixation, fixing (e.g., salary, capital)",N1,ja,JLPT (open-anki-jlpt-decks)
事柄,ことがら,"matter, thing, affair, circumstance",N1,ja,JLPT (open-anki-jlpt-decks)
孤独,こどく,"isolation, loneliness, solitude",N1,ja,JLPT (open-anki-jlpt-decks)
ことごとく,ことごとく,"altogether, entirely",N1,ja,JLPT (open-anki-jlpt-decks)
言付け,ことづけ,to leave a message,N1,ja,JLPT (open-anki-jlpt-decks)
殊に,ことに,"especially, above all",N1,ja,JLPT (open-anki-jlpt-decks)
粉々,こなごな,in very small pieces,N1,ja,JLPT (open-anki-jlpt-decks)
好ましい,このましい,"nice, likable, desirable",N1,ja,JLPT (open-anki-jlpt-decks)
碁盤,ごばん,Go board,N1,ja,JLPT (open-anki-jlpt-decks)
個別,こべつ,particular case,N1,ja,JLPT (open-anki-jlpt-decks)
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",N1,ja,JLPT (open-anki-jlpt-decks)
細やか,こまやか,"meager, modest",N1,ja,JLPT (open-anki-jlpt-decks)
コマーシャル,コマーシャル,a commercial,N1,ja,JLPT (open-anki-jlpt-decks)
込める,こめる,"to include, to put into",N1,ja,JLPT (open-anki-jlpt-decks)
コメント,コメント,comment,N1,ja,JLPT (open-anki-jlpt-decks)
籠もる,こもる,"to seclude oneself, to be confined in",N1,ja,JLPT (open-anki-jlpt-decks)
固有,こゆう,"characteristic, tradition, peculiar",N1,ja,JLPT (open-anki-jlpt-decks)
暦,こよみ,"calendar, almanac",N1,ja,JLPT (open-anki-jlpt-decks)
凝らす,こらす,"to concentrate, to devote, to peer into",N1,ja,JLPT (open-anki-jlpt-decks)
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",N1,ja,JLPT (open-anki-jlpt-decks)
孤立,こりつ,"isolation, helplessness",N1,ja,JLPT (open-anki-jlpt-decks)
懲りる,こりる,"to learn by experience, to be disgusted with",N1,ja,JLPT (open-anki-jlpt-decks)
凝る,こる,"to stiffen, to harden",N1,ja,JLPT (open-anki-jlpt-decks)
根気,こんき,"patience; perseverance, energy",N1,ja,JLPT (open-anki-jlpt-decks)
根拠,こんきょ,"basis, foundation",N1,ja,JLPT (open-anki-jlpt-decks)
混血,こんけつ,"mixed race, mixed parentage",N1,ja,JLPT (open-anki-jlpt-decks)
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,N1,ja,JLPT (open-anki-jlpt-decks)
昆虫,こんちゅう,"insect, bug",N1,ja,JLPT (open-anki-jlpt-decks)
根底,こんてい,"root, basis, foundation",N1,ja,JLPT (open-anki-jlpt-decks)
混同,こんどう,"confusion, mixing, merger",N1,ja,JLPT (open-anki-jlpt-decks)
コントラスト,コントラスト,contrast,N1,ja,JLPT (open-anki-jlpt-decks)
コントロール,コントロール,control,N1,ja,JLPT (open-anki-jlpt-decks)
コンパス,コンパス,compass,N1,ja,JLPT (open-anki-jlpt-decks)
根本,こんぽん,"foundation, root, base",N1,ja,JLPT (open-anki-jlpt-decks)
財,ざい,"fortune, riches",N1,ja,JLPT (open-anki-jlpt-decks)
再会,さいかい,"meeting again, reunion",N1,ja,JLPT (open-anki-jlpt-decks)
災害,さいがい,"calamity, disaster, misfortune",N1,ja,JLPT (open-anki-jlpt-decks)
細菌,さいきん,"bacillus, bacterium, germ",N1,ja,JLPT (open-anki-jlpt-decks)
細工,さいく,"work, craftsmanship, trick",N1,ja,JLPT (open-anki-jlpt-decks)
採掘,さいくつ,mining,N1,ja,JLPT (open-anki-jlpt-decks)
サイクル,サイクル,cycle,N1,ja,JLPT (open-anki-jlpt-decks)
採決,さいけつ,"vote, roll call",N1,ja,JLPT (open-anki-jlpt-decks)
再建,さいけん,(temple or shrine) rebuilding,N1,ja,JLPT (open-anki-jlpt-decks)
再現,さいげん,"reproduction, return, revival",N1,ja,JLPT (open-anki-jlpt-decks)
財源,ざいげん,"source of funds, resources, finances",N1,ja,JLPT (open-anki-jlpt-decks)
在庫,ざいこ,"stockpile, stock",N1,ja,JLPT (open-anki-jlpt-decks)
